წყარო,სათაური,ავტორი,აბსოლუტური ლინკი,ISBN,ფასი,ყდა
არტანუჯი,ზვიად გამსახურდია,79 ამბავი,https://www.artanuji.ge/book_ge.php?id=327,978-9941-478-01-7,8.10,https://www.artanuji.ge/img-site/upload/books/thumb_720258671.jpg
არტანუჯი,ქართველი მწერლები,130 ამბავი,https://www.artanuji.ge/book_ge.php?id=326,978-9941-478-07-9,11.70,https://www.artanuji.ge/img-site/upload/books/thumb_9379646512.jpg
არტანუჯი,100 ფოტოამბავი 2000-იან წლებზე,გურამ წიბახაშვილი,https://www.artanuji.ge/book_ge.php?id=325,978-9941-478-05-5,11.70,https://www.artanuji.ge/img-site/upload/books/thumb_9789053006.jpg
არტანუჯი,100 ფოტოამბავი 90-იან წლებზე,გურამ წიბახაშვილი,https://www.artanuji.ge/book_ge.php?id=324,978-9941-478-04-8,11.70,https://www.artanuji.ge/img-site/upload/books/thumb_9279995439.jpg
არტანუჯი,ველური პალმები,უილიამ ფოლკნერი,https://www.artanuji.ge/book_ge.php?id=323,978-9941-463-40-2,22.90,https://www.artanuji.ge/img-site/upload/books/thumb_9054602067.jpg
არტანუჯი,100 ფოტოამბავი 80-იან წლებზე,გურამ წიბახაშვილი,https://www.artanuji.ge/book_ge.php?id=322,978-9941-478-02-4,11.70,https://www.artanuji.ge/img-site/upload/books/thumb_2484928406.jpg
არტანუჯი,45+45 ამბავი ფეხბურთზე,ზვიად ბერეკაშვილი,https://www.artanuji.ge/book_ge.php?id=321,9789941478116,10.00,https://www.artanuji.ge/img-site/upload/books/thumb_7696186359.jpg
არტანუჯი,სხვა იოსები ,ქეთევან დავრიშევი (დავრიშაშვილი),https://www.artanuji.ge/book_ge.php?id=320,978-9941-463-76-1,10.80,https://www.artanuji.ge/img-site/upload/books/thumb_2574465954.jpg
არტანუჯი,"დღე, რომელსაც ვზეიმობთ",ო. ჰენრი,https://www.artanuji.ge/book_ge.php?id=319,978-9941-463-74-7,12.00,https://www.artanuji.ge/img-site/upload/books/thumb_1647222060.jpg
არტანუჯი,მე პაოლო ვარ,ნინო ჩხიკვიშვილი,https://www.artanuji.ge/book_ge.php?id=318,978-9941-463-75-4,10.00,https://www.artanuji.ge/img-site/upload/books/thumb_6807548273.jpg
არტანუჯი,შუა საუკუნეები,111 ამბავი,https://www.artanuji.ge/book_ge.php?id=317,978-9941-463-73-0,8.10,https://www.artanuji.ge/img-site/upload/books/thumb_9373610769.jpg
არტანუჯი,მეფე და მებაღე,ფრიდონ საყვარელიძე,https://www.artanuji.ge/book_ge.php?id=316,978-9941-463-71-6,8.50,https://www.artanuji.ge/img-site/upload/books/thumb_7349119656.jpg
არტანუჯი,მსოფლიო მონარქები,100 ამბავი,https://www.artanuji.ge/book_ge.php?id=315,978-9941-463-68-6,8.10,https://www.artanuji.ge/img-site/upload/books/thumb_6669904282.jpg
არტანუჯი,თხზულებანი (ტომი IV),ექვთიმე თაყაიშვილი,https://www.artanuji.ge/book_ge.php?id=314,978-9941-463-65-5,35.00,https://www.artanuji.ge/img-site/upload/books/thumb_5595946139.jpg
არტანუჯი,ილია ჭავჭავაძე,180 ამბავი,https://www.artanuji.ge/book_ge.php?id=313,978-9941-463-67-9,16.00,https://www.artanuji.ge/img-site/upload/books/thumb_8341262019.jpg
არტანუჯი,150 ამბავი ნობელიანტ ფიზიკოსებზე,კახმეგ კუდავა,https://www.artanuji.ge/book_ge.php?id=312,978-9941-463-57-0,8.50,https://www.artanuji.ge/img-site/upload/books/thumb_1532253571.jpg
არტანუჯი,თხზულებანი (ტომი III),ექვთიმე თაყაიშვილი,https://www.artanuji.ge/book_ge.php?id=311,978-9941-463-63-1,35.00,https://www.artanuji.ge/img-site/upload/books/thumb_4234123346.jpg
არტანუჯი,ცაში გამოკიდებული სახლი,მედეა ზაალიშვილი,https://www.artanuji.ge/book_ge.php?id=310,978-9941-463-62-4,11.50,https://www.artanuji.ge/img-site/upload/books/thumb_3450824613.jpg
არტანუჯი,წმინდა ელენეს პატიმრის მაქსიმები და აზრები,ნაპოლეონ ბონაპარტე,https://www.artanuji.ge/book_ge.php?id=309,9789941445682,10.00,https://www.artanuji.ge/img-site/upload/books/thumb_8751327311.jpg
არტანუჯი,პირადი წერილები,ჯეიმზ ჯოისი,https://www.artanuji.ge/book_ge.php?id=308,9789941445385,17.00,https://www.artanuji.ge/img-site/upload/books/thumb_7890971018.jpg
არტანუჯი,თხზულებანი (ტომი II),ექვთიმე თაყაიშვილი,https://www.artanuji.ge/book_ge.php?id=307,978-9941-445-72-9,35.00,https://www.artanuji.ge/img-site/upload/books/thumb_8627395927.jpg
არტანუჯი,ტაო-კლარჯეთი – ისტორიისა და კულტურის ძეგლების კატალოგი,"ნესტან ბაგაური, ზურაბ ბატიაშვილი, ირმა ბერიძე, ბუბა კუდავა, ნიკოლოზ ჟღენტი, გოჩა საითიძე, ნათია ხიზანიშვილი",https://www.artanuji.ge/book_ge.php?id=306,9789941478178,70.00,https://www.artanuji.ge/img-site/upload/books/thumb_6699066357.jpg
არტანუჯი,ქუეყანა ანისისა (ისტორიულ-გეოგრაფიული ნარკვევი),გიორგი ჭეიშვილი,https://www.artanuji.ge/book_ge.php?id=305,978-9941-463-55-6,11.00,https://www.artanuji.ge/img-site/upload/books/thumb_6243255599.jpg
არტანუჯი,კონსერვის რიგი,ჯონ სტაინბეკი,https://www.artanuji.ge/book_ge.php?id=304,978 9941 463 99 0,16.00,https://www.artanuji.ge/img-site/upload/books/thumb_4595515662.jpg
არტანუჯი,„ავკარგიანობა გიორგი სააკაძისა“ (ჩვენი ეროვნული გმირი თუ ქართველი ალკიბიადე?!),გურამ ყორანაშვილი,https://www.artanuji.ge/book_ge.php?id=303,978-9941-463-54-9,13.50,https://www.artanuji.ge/img-site/upload/books/thumb_8613735446.jpg
არტანუჯი,64 ამბავი ფოტოგრაფიაზე,გურამ წიბახაშვილი,https://www.artanuji.ge/book_ge.php?id=302,978 9941 463 56 3,15.00,https://www.artanuji.ge/img-site/upload/books/thumb_7338549746.jpg
არტანუჯი,„ლაზური გვარსახელები (ლაზური ანთროპონომიის საკითხები)“,ბაკურ გოგოხია,https://www.artanuji.ge/book_ge.php?id=301,978-9941-463-22-8,11.00,https://www.artanuji.ge/img-site/upload/books/thumb_4792434242.jpg
არტანუჯი,ფშავ-ხევსურეთი,ტურისტული გზამკვლევი,https://www.artanuji.ge/book_ge.php?id=300,978-9941-463-60-0,10.00,https://www.artanuji.ge/img-site/upload/books/thumb_474336068.jpg
არტანუჯი,ეროვნული გამოცდების სიმულაცია ისტორიაში (ტესტები და რეკომენდაციები აბიტურიენტებისთვის),"გიორგი მეჭურჭლიშვილი, არჩილ თაბუკაშვილი, კონსტანტინე ბარამია",https://www.artanuji.ge/book_ge.php?id=299,978-9941-463-59-4,17.00,https://www.artanuji.ge/img-site/upload/books/thumb_4488150193.jpg
არტანუჯი,ცინკის ბიჭები,სვეტლანა ალექსიევიჩი ,https://www.artanuji.ge/book_ge.php?id=298,978-9941-463-58-7,18.00,https://www.artanuji.ge/img-site/upload/books/thumb_7306213774.jpg
არტანუჯი,შემოქმედი,ანდრეს ინიესტა,https://www.artanuji.ge/book_ge.php?id=297,978-9941-463-53-2,22.00,https://www.artanuji.ge/img-site/upload/books/thumb_7818102631.jpg
არტანუჯი,60 ამბავი უცხოეთში დაკარგულ ქართველებზე,ალექსანდრე მიქაბერიძე,https://www.artanuji.ge/book_ge.php?id=296,978-9941-463-51-8,14.00,https://www.artanuji.ge/img-site/upload/books/thumb_7986722341.jpg
არტანუჯი,130 ამბავი,ლუდი,https://www.artanuji.ge/book_ge.php?id=295,978-9941-463-46-4,12.00,https://www.artanuji.ge/img-site/upload/books/thumb_1340153529.jpg
არტანუჯი,თარგმანები,მედეა ზაალიშვილი,https://www.artanuji.ge/book_ge.php?id=294,978-9941-445-38-5,13.00,https://www.artanuji.ge/img-site/upload/books/thumb_4675139831.jpg
არტანუჯი,სახატავ რვეულში ჩაწერილი ზღაპრები,დიანა ანფიმიადი,https://www.artanuji.ge/book_ge.php?id=293,978-9941-463-50-1,17.00,https://www.artanuji.ge/img-site/upload/books/thumb_5516475513.jpg
არტანუჯი,ერთი უჩვეულო ოჯახი,ქრისტინე ფაღავა ბულეზი,https://www.artanuji.ge/book_ge.php?id=292,978-9941-463-48-8,20.00,https://www.artanuji.ge/img-site/upload/books/thumb_6898883660.jpg
არტანუჯი,თხზულებანი ,დიმიტრი ყიფიანი,https://www.artanuji.ge/book_ge.php?id=291,978-9941-463-36-5,15.00,https://www.artanuji.ge/img-site/upload/books/thumb_9467550814.jpg
არტანუჯი,ქარვის ქალები,ქევსერ რუჰი (ქეთი ხანთაძე),https://www.artanuji.ge/book_ge.php?id=290,978-9941-463-89-1,0.00,https://www.artanuji.ge/img-site/upload/books/thumb_7479767650.jpg
არტანუჯი,აგვისტოს ნათელი,უილიამ ფოლკნერი,https://www.artanuji.ge/book_ge.php?id=289,978-9941-445-86-6,24.00,https://www.artanuji.ge/img-site/upload/books/thumb_7725958931.jpg
არტანუჯი,გვამის შემგინებელი,უილიამ ფოლკნერი,https://www.artanuji.ge/book_ge.php?id=288,978-9941-445-83-5,19.00,https://www.artanuji.ge/img-site/upload/books/thumb_9691298273.jpg
არტანუჯი,აზრები,პოლ ვალერი ,https://www.artanuji.ge/book_ge.php?id=287,978-9941-445-67-5,12.50,https://www.artanuji.ge/img-site/upload/books/thumb_7956923046.jpg
არტანუჯი,ბოჰემის მნათობები,რამონ მარია დელ ვალიე-ინკლანი,https://www.artanuji.ge/book_ge.php?id=286,978-9941-463-19-8,12.00,https://www.artanuji.ge/img-site/upload/books/thumb_8385925809.jpg
